source_id,ra,dec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,parallax
6193995675861730816,197.55564481504086,-24.103587648371597,18.490238,19.40144,17.543531,0.7298671043306088
6193992927082663040,197.639144472538,-24.098746019514717,20.504095,20.976631,19.570993,1.5802709948695577
6193975369256246528,197.82673115975803,-24.252216521111976,18.725924,19.776096,17.527088,1.0327046299500553
6193977980596361344,197.78356893433988,-24.254147755340544,17.313929,17.979095,16.560144,1.0738908911065024
6193992995802139904,197.63329407722935,-24.09775221093903,20.477278,20.702572,19.56611,-0.7291479679185087
6193970975505303936,197.5661126369644,-24.346096596046305,16.235138,16.722885,15.606481,0.24819780232858035
6193976644862104832,197.70684523680615,-24.275079085565437,16.795568,17.326714,16.1042,0.7405226782272265
6193969940416959488,197.59407766638122,-24.36898074364509,12.608935,12.907975,12.158673,1.84701052023647
6193990178303512320,197.51157199250326,-24.222081056976283,20.038143,20.787003,18.591072,3.211162947125867
6193992961442401792,197.65782413136844,-24.096971710057442,20.433702,19.998812,19.838614,0.352051897148667
6193992312902059392,197.6337320523374,-24.131919477813085,20.90706,21.290308,20.334253,0.39356709421835584
6193979084402663296,197.74351391541148,-24.218771372792897,19.94993,19.929531,18.433313,2.0124894289010813
6193990487541185024,197.59738899600202,-24.192450827313156,19.673666,20.120121,19.076527,0.35192885155492054
6193991621412628992,197.69530479862723,-24.14682053315962,20.44339,20.958687,19.023872,-0.07952490421664918
6193962351210832896,197.21217702959336,-24.310038500703953,16.215124,16.675417,15.607838,0.2870302997878397
6193977774437964160,197.67058738569466,-24.219782192811522,19.332119,20.608717,18.100294,1.48189570201569
6193983001413000448,197.55321470154763,-24.280469466166036,20.698874,20.949902,19.594818,-0.6215567220190024
